1	5.0  	The firestick gave new life to an old tv
2	5.0  	Like used for entertainment
3	5.0  	Fast and the variety
4	5.0  	Me encanto!! Muy buen precio. Buena calidad.
5	5.0  	Great bargain.
6	5.0  	The fire stick is so easy to use. I’m not good with technology but you made it simple ❤️ I love it my 9 year old loves it too
7	5.0  	This 4K fire stick is very amazing best in the market. I would 100% recommend this. I am using two fire sticks right now one is 4k and other is 2 years old (version 1). I will take them in to buy 4k version. The picture is very crispy and it is much faster than older version.
8	1.0  	I believe I was sent a defective unit. It started glitching a few days after I received it and now I can’t watch anything.
9	3.0  	"I purchased a fire stick years ago, but decided to sell it because I wasn’t in love with it as much as everyone else made it out to be, but my friend that I sold it to, convinced me to give it another chance so I bought a new one. I haven’t used it much since I’ve got it, but for some reason I have a hard to trying to download apps. But that could just be me. I’m going to get someone else to try it. Sometimes the remote doesn’t work. In the brochure, it gives you directions on what to do when the remote doesn’t work, like the makers of the fire stick know that it’s a problem, but they haven’t fixed it thoroughly yet, so I’m not sure about that."
10	2.0  	"What is clearly not advertised is that Dolby Atmos works only if you have a 4K TV. I have Denon AVR that supports Dolby Atmos pass through. Even after renting a 4k UHD movie, Atmos sound is downgraded DD+. Atmso was the only reason to buy this. Wouldn't recommend if you are after Atmos."
11	5.0  	4K has a much better refresh rate (stunning).
12	4.0  	"I had a regular firestick before but I just upgraded to 4k for better performance and it sure does have better performance than the regular one. No lag in streaming and voice is very responsive too. I took out one star from my review because it doesn't support some of the major streaming apps like VUDU and HBO Max. I was able to install them but had to go through hoops to do so, wish it just supported these apps out of the box."
13	5.0  	"It was an investment because my Xbox was being used as a streaming device. I know that is what it used for other than gaming, but I didn't want it to be used as a stream device. I have a smart a TV, but alot of its apps have been removed. So once again great buy"
14	5.0  	"Very reliable, fast streaming device."
15	5.0  	This fire-stick does the job it’s supposed to. I honestly don’t use the Alexa feature but had no choice since my old firestick had died and this was the only model offered.
16	5.0  	I love we only have to use the Fire Stick remote😊
17	5.0  	I’m a senior. We need these things to make life easier. Thanks
18	5.0  	Streaming
19	3.0  	"The quality is good but I was hoping it would be faster. Also, you have to leave it plugged into the outlet all the time so it limits where it can be connected."
20	5.0  	Awesome
21	5.0  	The firestick gave new life to an old tv
22	5.0  	Like used for entertainment
23	5.0  	Fast and the variety
24	5.0  	Me encanto!! Muy buen precio. Buena calidad.
25	5.0  	Great bargain.
26	5.0  	The fire stick is so easy to use. I’m not good with technology but you made it simple ❤️ I love it my 9 year old loves it too
27	5.0  	This 4K fire stick is very amazing best in the market. I would 100% recommend this. I am using two fire sticks right now one is 4k and other is 2 years old (version 1). I will take them in to buy 4k version. The picture is very crispy and it is much faster than older version.
28	1.0  	I believe I was sent a defective unit. It started glitching a few days after I received it and now I can’t watch anything.
29	3.0  	"I purchased a fire stick years ago, but decided to sell it because I wasn’t in love with it as much as everyone else made it out to be, but my friend that I sold it to, convinced me to give it another chance so I bought a new one. I haven’t used it much since I’ve got it, but for some reason I have a hard to trying to download apps. But that could just be me. I’m going to get someone else to try it. Sometimes the remote doesn’t work. In the brochure, it gives you directions on what to do when the remote doesn’t work, like the makers of the fire stick know that it’s a problem, but they haven’t fixed it thoroughly yet, so I’m not sure about that."
30	2.0  	"What is clearly not advertised is that Dolby Atmos works only if you have a 4K TV. I have Denon AVR that supports Dolby Atmos pass through. Even after renting a 4k UHD movie, Atmos sound is downgraded DD+. Atmso was the only reason to buy this. Wouldn't recommend if you are after Atmos."
31	5.0  	The fire stick is so good I bought one for each of my TV’s ( 5 ) of them.
32	5.0  	It was all good
33	5.0  	Super fast.. great for streaming
34	5.0  	So much better than 1st Gen fs
35	5.0  	We've supplemented the limited list of apps from our BluRay player with this. Very easy to use. Wish we had 30 hours a day to watch!
36	5.0  	Quick & easy to set up!
37	5.0  	It’s magic.
